#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
TU7026	314	452	463	203	225	280	108	107
TU7027	14	14	6	4	3	0	9	5
TU7028	29	36	27	41	29	0	7	5
TU7029	445	241	370	298	330	99	172	184
TU703	314	245	391	296	326	234	236	227
TU7030	128	110	247	106	104	166	74	55
TU7031	4826	5780	6314	2124	3008	6995	4683	3265
TU7032	67	71	64	39	53	32	38	21
TU7033	646	577	657	534	612	393	297	338
TU7034	174	275	231	128	128	192	131	89
TU7035	542	669	642	456	484	221	154	153
TU7036	40	43	37	27	32	12	25	18
TU7037	185	174	179	128	127	42	79	71
TU7038	1117	932	1475	731	942	452	435	438
TU7039	530	332	416	315	454	81	131	139
TU704	439	352	341	337	470	280	281	298
TU7040	566	733	702	426	484	242	228	154
TU7041	1690	1497	2107	1545	1627	474	752	615
TU7042	177	246	252	125	136	128	129	97
TU7043	825	829	857	524	588	422	381	328
TU7044	43	42	48	37	34	16	18	20
TU7045	82	95	149	87	104	38	27	22
TU7046	1690	1205	1648	949	1256	396	513	389
TU7047	113	76	142	84	100	57	35	30
TU7048	1168	1046	1299	824	972	364	528	374
TU7049	52	52	31	52	42	22	18	18
TU705	516	434	557	488	502	653	512	523
TU7050	1024	825	1050	594	759	339	411	320
TU7051	66	47	60	32	58	15	34	21
TU7052	270	238	315	187	208	90	121	83
TU7053	1353	1462	1332	1129	1446	419	523	448
TU7054	191	148	135	124	119	86	130	90
TU7055	391	369	440	299	411	255	203	179
TU7056	242	175	251	177	216	58	92	82
TU7057	327	335	404	207	265	197	134	120
TU7058	15120	21202	6828	9946	17500	5070	6113	5407
TU7059	60	49	39	32	57	18	19	31
TU706	2788	3053	2154	1666	2221	1783	1964	1647
TU7060	104	110	113	76	102	62	61	40
TU7061	70	74	36	36	46	27	28	14
TU7062	63	54	49	59	33	16	20	16
TU7063	713	769	341	291	627	65	221	347
TU7064	1214	869	906	612	1151	165	350	310
TU7065	868	1097	532	399	649	150	134	146
TU7066	371	415	360	246	273	156	124	117
TU7067	375	330	396	251	302	124	226	146
TU7068	40	62	53	26	45	23	22	15
TU7069	1781	1632	2090	1390	1603	644	727	652
TU707	1650	1493	2137	1665	1783	1343	1350	1319
TU7070	200	267	253	176	198	155	132	92
TU7071	3152	2601	2341	1884	2527	709	1098	741
TU7072	29	48	32	28	24	12	11	16
TU7073	357	201	216	199	370	37	89	94
TU7074	93	142	87	90	132	44	73	31
TU7075	2895	2239	2192	1937	2607	588	642	569
TU7076	10	16	20	10	10	4	4	4
TU7077	83	82	76	57	66	22	35	22
TU7078	3531	4541	1562	3194	4248	1286	1480	1321
TU7079	7354	10660	4060	5398	8202	2490	3223	2931
TU708	403	426	446	388	405	269	279	251
TU7080	34	55	59	24	26	29	17	20
TU7081	45	48	37	32	35	30	19	9
TU7082	110	92	172	75	68	50	62	45
TU7083	143	180	149	107	120	81	64	62
TU7084	540	775	289	334	483	249	291	262
TU7085	104	98	71	46	49	35	59	24
TU7086	172	110	106	145	169	19	19	24
TU7087	2756	3055	2668	2407	2316	516	453	426
TU7088	732	488	489	644	796	51	71	81
TU7089	928	703	810	834	914	81	93	79
TU709	17	12	24	18	20	13	6	7
TU7090	16	27	33	28	13	11	9	3
TU7091	187	181	141	220	232	54	40	39
TU7092	332	247	412	187	251	117	168	122
TU7093	1010	623	1125	648	695	304	395	326
TU7094	617	455	571	530	614	160	223	189
TU7095	264	213	278	235	261	81	92	77
TU7096	106	103	77	102	112	25	28	34
TU7097	1	2	0	4	2	0	1	2
TU71	627	651	615	655	816	751	624	662
TU710	145	115	209	144	168	180	97	110
TU711	48	62	48	44	35	85	41	40
TU712	768	745	907	814	973	639	533	516
TU713	43	22	26	19	22	28	28	27
TU714	79	77	79	98	113	66	67	50
TU715	1273	1455	1199	981	1166	1321	1286	1012
TU716	210269	279117	188647	156927	169578	139221	173250	135070
TU717	76	51	42	37	48	43	46	39
TU718	22269	19509	16917	14542	19469	7863	14966	14456
TU719	27	11	27	30	27	8	26	19
TU72	532	584	691	613	718	408	357	294
